date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:40	5594/5594	---M--	200	added ('OK')	application/javascript	etag:%2215da-5b5fea4142732%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/plugins/imagesloaded.pkgd.min.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/plugins/imagesloaded.pkgd.min.js	(from https://themes.3rdwavemedia.com/devcard/bs4/portfolio.html)
11:22:41	35445/35445	---M--	200	added ('OK')	application/javascript	etag:%228a75-5b5fea4142b1a%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/plugins/isotope.pkgd.min.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/plugins/isotope.pkgd.min.js	(from https://themes.3rdwavemedia.com/devcard/bs4/portfolio.html)
11:22:42	893/893	---M--	200	added ('OK')	application/javascript	etag:%2237d-5b5fea4142732%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/js/isotope-custom.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/js/isotope-custom.js	(from https://themes.3rdwavemedia.com/devcard/bs4/portfolio.html)
11:22:43	792/792	---M--	200	added ('OK')	application/javascript	etag:%22318-5b5fea4142732%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/js/pricing.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/js/pricing.js	(from https://themes.3rdwavemedia.com/devcard/bs4/services.html)
11:22:45	40412/40412	---M--	200	added ('OK')	image/png	etag:%229ddc-5b5fea4133115%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/resume-profile.png	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/resume-profile.png	(from https://themes.3rdwavemedia.com/devcard/bs4/resume.html)
11:22:46	77447/77447	---M--	200	added ('OK')	image/jpeg	etag:%2212e87-5b5fea4137b4e%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-card-4.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-card-4.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/blog-home.html)
11:22:47	82953/82953	---M--	200	added ('OK')	image/jpeg	etag:%2214409-5b5fea413831e%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-card-5.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-card-5.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/blog-home.html)
11:22:48	94868/94868	---M--	200	added ('OK')	image/jpeg	etag:%2217294-5b5fea4139a8f%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-card-6.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-card-6.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/blog-home.html)
11:22:49	23261/23261	---M--	200	added ('OK')	application/javascript	etag:%225add-5b5fea415a60a%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/plugins/jquery-validation/jquery.validate.min.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/plugins/jquery-validation/jquery.validate.min.js	(from https://themes.3rdwavemedia.com/devcard/bs4/contact.html)
11:22:49	507/507	---M--	200	added ('OK')	application/javascript	etag:%221fb-5b5fea4142732%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/js/form.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/js/form.js	(from https://themes.3rdwavemedia.com/devcard/bs4/contact.html)
